,tx_count,other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,hx_address_count,cx_address_count,tx_fees
2023-10-30,17019.0,8884.0,43151.0,3070.0,7028.0,1477.0,5444.0,5947.0,95.0,146.36015963749986
2023-10-31,18093.0,8620.0,43144.0,3489.0,6134.0,2803.0,5667.0,5246.0,107.0,224.90912513749987
2023-11-01,16034.0,7649.0,43033.0,3094.0,5837.0,1474.0,5629.0,5242.0,110.0,165.50307807499988
2023-11-02,14768.0,7314.0,43147.0,2603.0,5498.0,1310.0,5357.0,5144.0,102.0,141.36322582499986
2023-11-03,13869.0,6874.0,43148.0,2439.0,5079.0,1122.0,5229.0,5101.0,99.0,130.3132913124999
2023-11-04,14687.0,7263.0,43168.0,2659.0,5276.0,1283.0,5469.0,5074.0,104.0,152.8769003249999
2023-11-05,14875.0,7277.0,43140.0,2583.0,5512.0,1519.0,5261.0,5215.0,113.0,139.66902702499988
2023-11-06,16880.0,8899.0,43081.0,2959.0,6778.0,1582.0,5561.0,5910.0,105.0,198.54359453749987
2023-11-07,15153.0,7460.0,43131.0,2717.0,5457.0,1621.0,5358.0,5240.0,100.0,147.6656669499999
2023-11-08,14692.0,7089.0,43158.0,2507.0,5323.0,1449.0,5413.0,5161.0,95.0,135.9113902874999
2023-11-09,30989.0,7926.0,43157.0,16893.0,6047.0,2442.0,5607.0,5324.0,111.0,216.04274747499989
2023-11-10,46989.0,8537.0,43169.0,33619.0,6280.0,1633.0,5457.0,5831.0,103.0,187.62026198749984
2023-11-11,62942.0,8982.0,43154.0,46767.0,7434.0,3005.0,5736.0,5445.0,106.0,306.4373105874998
2023-11-12,67811.0,10533.0,43154.0,47317.0,8420.0,5867.0,6207.0,5605.0,109.0,420.5689949249998
2023-11-13,48176.0,9189.0,43188.0,31599.0,7357.0,3226.0,5994.0,5334.0,114.0,367.7990325874998
2023-11-14,42431.0,4004.0,43128.0,32025.0,6041.0,3130.0,1235.0,1993.0,107.0,297.6266551124998
2023-11-15,63852.0,12066.0,43124.0,46299.0,5808.0,1837.0,9908.0,5199.0,104.0,255.2030013624999
2023-11-16,61498.0,8141.0,43102.0,46495.0,5918.0,3495.0,5590.0,5121.0,118.0,360.8028430249998
2023-11-17,61396.0,8184.0,43157.0,46192.0,6226.0,3425.0,5553.0,5109.0,112.0,264.39110127499987
2023-11-18,49066.0,6990.0,43134.0,37407.0,4855.0,1614.0,5190.0,4943.0,108.0,177.6537187749999
2023-11-19,58659.0,7469.0,43177.0,45852.0,5511.0,1888.0,5408.0,5069.0,106.0,211.79878006249987
2023-11-20,48795.0,7128.0,43103.0,37250.0,5135.0,1129.0,5281.0,4817.0,107.0,182.12960317499986
2023-11-21,58367.0,7119.0,43138.0,46479.0,5257.0,1266.0,5365.0,5211.0,108.0,369.51004023749994
2023-11-22,56531.0,7983.0,43085.0,44081.0,6122.0,1195.0,5133.0,5890.0,107.0,228.28275709999986
2023-11-23,39547.0,7299.0,43150.0,27755.0,5423.0,1129.0,5240.0,5192.0,108.0,212.16044188749984
2023-11-24,13554.0,6663.0,43148.0,2555.0,4797.0,1090.0,5112.0,5064.0,101.0,166.8317464874999
2023-11-25,13030.0,6504.0,43132.0,2493.0,4727.0,769.0,5041.0,5039.0,102.0,118.9242512124999
2023-11-26,14356.0,7076.0,43164.0,2486.0,5133.0,1338.0,5399.0,5026.0,104.0,137.9186725124999
2023-11-27,13560.0,6770.0,43123.0,2376.0,5108.0,1017.0,5059.0,5076.0,106.0,254.26612353749988
2023-11-28,13142.0,6373.0,43138.0,2305.0,5022.0,889.0,4926.0,4958.0,102.0,135.05487267499984
2023-11-29,11374.0,3813.0,43123.0,2516.0,6677.0,1140.0,1041.0,2887.0,112.0,161.70306017499985
2023-11-30,14103.0,6988.0,43134.0,2570.0,5089.0,1208.0,5236.0,5001.0,103.0,127.5831380874999
2023-12-01,19283.0,11433.0,43137.0,3025.0,5638.0,1088.0,9532.0,5255.0,107.0,220.05339936249987
2023-12-02,13388.0,6584.0,43138.0,2310.0,4943.0,1105.0,5030.0,5001.0,102.0,121.44866133749989
2023-12-03,14923.0,7035.0,43107.0,2564.0,5262.0,1379.0,5718.0,5043.0,99.0,140.2812478374999
2023-12-04,34172.0,7634.0,43156.0,21178.0,5751.0,1850.0,5393.0,5116.0,105.0,194.5822666124999
2023-12-05,41793.0,2955.0,43124.0,33494.0,5607.0,1760.0,932.0,2069.0,103.0,168.0327536874999
2023-12-06,62237.0,11675.0,43130.0,45692.0,5345.0,1546.0,9654.0,5096.0,110.0,326.4530279124998
2023-12-07,59296.0,8292.0,43157.0,45543.0,6817.0,1651.0,5285.0,5790.0,106.0,203.05185586249988
2023-12-08,57720.0,6896.0,43140.0,45979.0,5152.0,1207.0,5382.0,5114.0,111.0,175.2954305749999
2023-12-09,17069.0,6876.0,43129.0,5112.0,5407.0,1304.0,5246.0,5202.0,102.0,149.42133613749988
2023-12-10,13850.0,6930.0,43159.0,2540.0,4819.0,1345.0,5146.0,5011.0,102.0,125.1789682749999
2023-12-11,14677.0,6919.0,43155.0,2547.0,5369.0,1510.0,5251.0,5180.0,110.0,230.92534348749987
2023-12-12,14173.0,7783.0,43159.0,2329.0,5905.0,937.0,5002.0,5754.0,100.0,118.11004547499988
2023-12-13,10498.0,2476.0,43126.0,2204.0,6655.0,1044.0,595.0,1852.0,109.0,175.42387494999988
2023-12-14,18324.0,11196.0,43092.0,2273.0,5091.0,1396.0,9564.0,5015.0,111.0,159.92701587499988
2023-12-15,13529.0,6244.0,43127.0,2530.0,4844.0,1012.0,5143.0,5003.0,102.0,109.90401404999989
