week,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-39,hxf819c5e1cc4b3e48aab63cacf87b2f723d01ec7d,42414.0686,12,1,400.0,7000.0,3254.5,3534.5057166666666,0.94308%,16.50396%,7.67316%,8.33333%
2020-39,hxfcfa8585fe2e5a7d96b154b54b697bb477b4fe30,21231.0615,12,1,800.4172000000001,4052.4641,1610.0,1769.255125,3.77003%,19.08743%,7.58323%,8.33333%
2020-39,hx303aaec9df00dccdca686c9730f7d08453a3025b,181.91059928934777,12,1,4.3525000665571,33.48077118056981,12.154732708668387,15.159216607445648,2.39266%,18.40507%,6.68171%,8.33333%
2020-39,hx7849e4405707a7ed86a3d24f8ff4cf45cde3587d,31227.388654802384,12,1,513.3023323575981,5743.860867656126,2370.3854975162126,2602.2823879001985,1.64376%,18.39366%,7.59073%,8.33333%
2020-39,hx460ece412e413fb9a91b80375289153c67b1c41c,8216.5359,12,1,346.9088,2174.964700000001,510.36564999999996,684.7113250000001,4.22208%,26.47058%,6.21145%,8.33333%
2020-39,hx6e0a36493b252832790bcb9517fefc691a9840c3,7495.193699999999,12,1,3.9261,1957.9279,465.22900000000004,624.5994749999999,0.05238%,26.12245%,6.20703%,8.33333%
2020-39,hx36dd546d61fbc6ac7f7b1af2f7b4776eacb0b326,44171.55499999999,12,1,669.7615000000001,9249.046799999996,3012.0251,3680.962916666666,1.51627%,20.93892%,6.81892%,8.33333%
2020-39,hx5431f4aa69a654d2d355b4cac7fa1e65865fb1a1,507.3680999999999,12,1,20.3052,76.1154,40.5055,42.280674999999995,4.00206%,15.00201%,7.98345%,8.33333%
2020-39,hx60f200b8f2855d176ce080f19ec435da821c200c,23257.6935,12,1,1156.2,4699.3568000000005,1503.06,1938.141125,4.97126%,20.20560%,6.46264%,8.33333%
2020-39,hx3ee1c2d14a10919cdda370504dfd95758135e1c1,20098.920799999996,12,1,142.7011,1991.8821,1891.43755,1674.9100666666664,0.70999%,9.91039%,9.41064%,8.33333%
2020-39,hx01aebdc1ef632abc8f6084bd9e2f85304a832cd2,34180.6357,12,1,1180.6357000000003,3000.000000000004,3000.0,2848.386308333333,3.45411%,8.77690%,8.77690%,8.33333%
2020-39,hx75f6fa7af0f4fe03813399399996fedb050b243e,6260.1778,12,1,500.0,760.1778,500.0,521.6814833333334,7.98699%,12.14307%,7.98699%,8.33333%
2020-39,hx7161b1f236e9f8541c00b8b79d8b549cbe2f29be,90454.0344,12,1,579.7749,40685.9256,1101.9737,7537.836200000001,0.64096%,44.97967%,1.21827%,8.33333%
2020-39,hx5e2908097689627b16532de3047fc61bc8ee726c,104741.4687,12,1,1248.9796999999999,11145.719899999998,9363.723849999998,8728.455725,1.19244%,10.64117%,8.93984%,8.33333%
2020-39,hx752ccc6833a07103a76be0cbf434095bc0244759,2382.4345000000003,12,1,114.89380000000001,253.5609,207.82864999999998,198.53620833333335,4.82254%,10.64293%,8.72337%,8.33333%
2020-39,hx83c4477baf682ecfeef54f99a7bc2908c38fbdfa,11874.6927,11,1,75.8145,2306.4915,1092.3791,1079.517518181818,0.63845%,19.42359%,9.19922%,9.09091%
2020-39,hx16efd676ccb794e3fe399c45abcba85df88f31d2,1726.8397,11,1,15.0076,752.6613,52.1711,156.98542727272726,0.86908%,43.58605%,3.02119%,9.09091%
2020-39,hx44a17a00d1641f939c78d95dc6b1807de266ecbc,56275.260299999994,11,1,560.1918000000001,8380.538400000001,4922.2111,5115.932754545454,0.99545%,14.89205%,8.74667%,9.09091%
2020-39,hxd6065022196e9be0026baa4b6ebed925102fa170,681.0113,11,1,59.2033,80.6035,59.2034,61.910118181818184,8.69344%,11.83585%,8.69345%,9.09091%
2020-39,hxd5629fb8fe7a0aeb703abb336002b09461f1341d,94826.1725,11,1,4773.9697,21287.781,6365.2929,8620.561136363636,5.03444%,22.44927%,6.71259%,9.09091%
2020-39,hx624cc71bdd83371ed6ed32ba06c705e8d586244c,32005.1734,11,1,56.8865,25154.7641,100.0,2909.5612181818183,0.17774%,78.59593%,0.31245%,9.09091%
2020-39,hx62471b4843bea5f543c9895220b8ba99e1c24846,10543.004884273623,11,1,0.0,2042.8544226257416,733.5708783026339,878.5837403561353,0.00000%,19.37640%,6.95789%,8.33333%
2020-39,hxdb4cecb5d86ca0cadbcbe6adad83eb5cd28154a3,11553.527900000003,11,1,100.2587,9023.2904,100.2587,1050.3207181818184,0.86778%,78.09987%,0.86778%,9.09091%
2020-39,hxcdaf4c545aa2d05e0a28f5ceb94ac8da1ac2f968,344618.80389999994,11,1,30309.2949,41525.8539,30309.295,31328.98217272727,8.79502%,12.04979%,8.79502%,9.09091%
2020-39,hx642ab198ea3710f4215b5dc9d96c8f1f788114da,7672.283899999999,11,1,167.6893,1401.0312999999999,692.465,697.4803545454545,2.18565%,18.26094%,9.02554%,9.09091%
2020-39,hx446fe84cf9e0775cf4f6156f2679c70de2d7ae06,10421.922900000001,11,1,10.0,1042.2346,1042.2345,947.4475363636365,0.09595%,10.00041%,10.00041%,9.09091%
2020-39,hx1a6fd1e633dcb583de2422bdbf3480d4208f1e40,12764.037300000004,11,1,520.2349,1560.3856,1179.0796,1160.3670272727277,4.07579%,12.22486%,9.23751%,9.09091%
2020-39,hx1c9c39cc6ab3efd31048ea115119122fbc1d65a5,84.7621,11,1,0.0,16.290799999999997,3.2693000000000003,4.986005882352941,0.00000%,19.21944%,3.85703%,5.88235%
2020-39,hxc80f843578020a39efd76c89d4c49efc43526cd3,417.2846,11,1,17.2846,40.0,40.0,37.93496363636364,4.14216%,9.58578%,9.58578%,9.09091%
2020-39,hx1cc7b5fb2ddeb78cbac7e839837daf4e9fdc1009,9340.5831,11,1,102.4691,3430.5532000000003,616.0,849.1439181818182,1.09703%,36.72740%,6.59488%,9.09091%
2020-39,hxda2f396c8f1a50df62b23c1c3d88342ce6939140,7514.171400000001,11,1,70.1435,2665.4535,350.7176,683.106490909091,0.93348%,35.47235%,4.66742%,9.09091%
2020-39,hxdd6b499ebf126dd89f89f32179cd879fee310eda,7122.8559995045425,11,1,131.6232945695421,2549.2980349201353,432.1610221959618,647.532363591322,1.84790%,35.79039%,6.06724%,9.09091%
2020-39,hxdc8c68c62b0af5cbd78e2e718d09d1d804e22cb6,37161.022999999994,11,1,2753.4901,5180.5317000000005,3210.2149,3378.2748181818174,7.40962%,13.94077%,8.63866%,9.09091%
2020-39,hx49df21b082eb120b227d11cc127da13f1f085616,8395.960379646589,11,1,8.890845312008391,1180.8991343345801,838.2713,763.2691254224172,0.10589%,14.06509%,9.98422%,9.09091%
2020-39,hx53c38abe38df03116f426ea55d973d77aeb71de6,4021.4210000000003,11,1,364.9899,371.4311,365.0,365.5837272727273,9.07614%,9.23631%,9.07639%,9.09091%
2020-39,hxfc7e2968bdb38ddfea72701660f981868cb1c614,59658.64359999999,11,1,371.98800000000006,7164.7393999999995,5985.869699999998,5423.513054545453,0.62353%,12.00956%,10.03353%,9.09091%
