validator,validator_name,rank,delegation,bond,power
hx8d7f98f88560fc957d410afb53c5b269bebc8799,Arcade Node,60,2495912.18755563,0.0,0.0
hxa69031aef1bbb11ea0ee3647b278c158ecdab767,Danal,61,2307371.2479875037,0.0,0.0
hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,Band Protocol,62,2273148.3386382647,0.0,0.0
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,63,1946455.970297863,0.0,0.0
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,64,1523910.1820612065,0.0,0.0
hxf75bfd0df8d96ee0963965135af2485cee6d5000,weBloc asia,65,1401090.0812350868,0.0,0.0
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,66,1026544.9041750173,0.0,0.0
hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,TNTXT,67,858805.7167395933,0.0,0.0
hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,MinerGate,68,838739.0031884992,0.0,0.0
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,block42,69,672178.2878343101,0.0,0.0
hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,70,612684.3404284306,0.0,0.0
hx040b667627bbd02619e89439fab48b053e71c666,ICX Australia,71,568246.5100899341,0.0,0.0
hxc5e0b88cb9092bbd8b004a517996139334752f62,Foundry Box Media,72,550688.5380765587,0.0,0.0
hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,Catena,73,550321.489843584,0.0,0.0
hxab751d4e83b6fda412a38cb5f7f96860396b1327,Symmetry SLC,74,521552.82374108024,0.0,0.0
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,75,500395.83565751,0.0,0.0
