date,marketCap,icxCirculation,icxSupply,publicTreasury,iglobal
2021-06-21,519852784.0,634237781.0,893422887.0,4270958.0,
2021-06-22,463473901.0,632171090.0,893553852.0,4295692.0,
2021-06-23,488464873.0,632301707.0,893685206.0,4249697.0,
2021-06-24,510227685.0,632432866.0,893816494.0,4287901.0,
2021-06-25,457547323.0,632563775.0,893947553.0,4381435.0,
2021-06-26,443294756.0,632695557.0,894079393.0,4411936.0,
2021-06-27,446205043.0,640706342.0,894211110.0,4477632.0,
2021-06-28,481529499.0,640305655.0,894342165.0,3956392.0,
2021-06-29,540243837.0,637861030.0,894473883.0,4033247.0,
2021-06-30,494710284.0,637689909.0,894603131.0,4028840.0,
2021-07-01,504612581.0,637573000.0,894734666.0,4056184.0,
2021-07-02,512697129.0,637703417.0,894865385.0,4071683.0,
2021-07-03,529039171.0,637834831.0,894996890.0,4154724.0,
2021-07-04,544448309.0,637966101.0,895128347.0,4169084.0,
2021-07-05,528389689.0,638097603.0,895259848.0,4232234.0,
2021-07-06,557057895.0,638228746.0,895391060.0,4230481.0,
2021-07-07,606802953.0,638359806.0,895522261.0,4273324.0,
2021-07-08,629055795.0,638490551.0,895653348.0,4270271.0,
2021-07-09,606088639.0,638619179.0,895782049.0,4276733.0,
2021-07-10,591506525.0,638781945.0,895944967.0,4326039.0,
2021-07-11,586785330.0,638879597.0,896042687.0,4394684.0,
2021-07-12,577986295.0,638978327.0,896170828.0,4390466.0,
2021-07-13,555628685.0,638965174.0,896301705.0,4460606.0,
2021-07-14,526228870.0,639096046.0,896432576.0,4471357.0,
2021-07-15,491767970.0,639226472.0,896563002.0,4566099.0,
2021-07-16,469609201.0,639389993.0,896726524.0,4625374.0,
2021-07-17,503333064.0,639487946.0,896824884.0,4696200.0,
2021-07-18,491185214.0,639618697.0,896955679.0,4729311.0,
2021-07-19,468323451.0,639749514.0,897086522.0,4788525.0,
2021-07-20,433734942.0,639879668.0,897216743.0,4809845.0,
2021-07-21,469083044.0,640009177.0,897346476.0,4853224.0,
2021-07-22,494821994.0,640138389.0,897475979.0,4878172.0,
2021-07-23,481386706.0,640313806.0,897606396.0,4957922.0,
2021-07-24,524915209.0,640444225.0,897737099.0,4980896.0,
2021-07-25,518545524.0,646065195.0,897867448.0,5067036.0,
2021-07-26,565505900.0,646193522.0,897996039.0,4611035.0,
2021-07-27,541048071.0,646323888.0,898126405.0,4687395.0,
2021-07-28,565936577.0,648621183.0,898257034.0,4722394.0,
2021-07-29,590825084.0,650918478.0,898387663.0,4757393.0,
2021-07-30,615713591.0,653215773.0,898518292.0,4792392.0,
2021-07-31,645490099.0,653483112.0,898649539.0,4811307.0,
2021-08-01,652521495.0,653614285.0,898780772.0,4823706.0,
2021-08-02,659552892.0,653745458.0,898912005.0,4836105.0,
2021-08-03,661259293.0,653876608.0,899043207.0,4850381.0,
2021-08-04,673440669.0,654007604.0,899174321.0,4913263.0,
2021-08-05,695289587.0,654138616.0,899305480.0,4941459.0,
2021-08-06,710944379.0,654269671.0,899436534.0,5012824.0,
2021-08-07,714848054.0,654400832.0,899567696.0,5035818.0,
2021-08-08,697995677.0,654532177.0,899699201.0,5097256.0,
2021-08-09,718493047.0,654663138.0,899830339.0,5093282.0,
2021-08-10,716805694.0,654825060.0,899962262.0,5086781.0,
2021-08-11,785791954.0,654955545.0,900093047.0,5108864.0,
2021-08-12,729668353.0,655086498.0,900224004.0,5188735.0,
2021-08-13,777542005.0,655217538.0,900355325.0,5221830.0,
2021-08-14,811345913.0,655348038.0,900485987.0,5270505.0,
2021-08-15,802829548.0,655478079.0,900616367.0,5354199.0,
2021-08-16,886821615.0,655608707.0,900747119.0,5343297.0,
2021-08-17,827018249.0,655738644.0,900877162.0,5407216.0,
2021-08-18,786738126.0,655869411.0,901008073.0,5422949.0,
2021-08-19,795489749.0,656000287.0,901139000.0,5501451.0,
2021-08-20,843710234.0,648643938.0,901270253.0,5525817.0,
2021-08-21,915734724.0,648775134.0,901401448.0,5594374.0,
2021-08-22,970453837.0,648939114.0,901565499.0,5625046.0,
2021-08-23,1008832046.0,649037353.0,901663847.0,5258014.0,
2021-08-24,940007323.0,649168760.0,901795263.0,5154723.0,
2021-08-25,997706504.0,659327920.0,901927697.0,5228482.0,
2021-08-26,886644392.0,659456968.0,902058337.0,5259007.0,
2021-08-27,901551265.0,659585682.0,902187179.0,5328477.0,
2021-08-28,925428267.0,659714434.0,902316031.0,5362192.0,
2021-08-29,922837950.0,664842919.0,902444549.0,5448374.0,
2021-08-30,913800565.0,664971418.0,902573186.0,5431755.0,
2021-08-31,879298446.0,665098988.0,902700756.0,5463406.0,
2021-09-01,944949025.0,665225571.0,902827349.0,5416497.0,
2021-09-02,954584012.0,665351828.0,902953605.0,5491614.0,
2021-09-03,1049671329.0,665478480.0,903080388.0,5492849.0,
