,date,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx),Regular & Interal Tx,Regular & Interal Tx (MA7),Regular & Interal Tx (MA30),Fees burned (MA7),Fees burned (MA30)
127,2023-05-31,42204,124.66497557499991,8953,39948,51157,62722.142857142855,63618.5,167.46182171785702,200.72349585874989
128,2023-06-01,50073,155.64592892499988,14576,49699,64649,62890.857142857145,63563.0,167.47055929642846,199.85156640333318
129,2023-06-02,49871,146.89318869999988,13291,49538,63162,62824.142857142855,63475.3,162.6428340017856,196.7016230737499
130,2023-06-03,49497,142.68896938749987,13620,49669,63117,62623.71428571428,63483.73333333333,156.86710336428558,195.95943129624987
131,2023-06-04,49564,119.72110871249988,12431,49354,61995,62289.28571428572,63496.8,145.83375458749987,192.51911706291654
132,2023-06-05,58851,216.20608099999984,17258,49613,76109,64121.57142857143,63979.53333333333,155.55392103392845,194.84855441374987
133,2023-06-06,53658,168.37828422499987,13958,49287,67616,63972.142857142855,64193.333333333336,153.45693378928559,193.85530569999986
134,2023-06-07,49199,160.99889961249988,14172,49621,63371,65717.0,64016.433333333334,158.64749436607127,189.91329818166653
135,2023-06-08,71769,179.63980599999988,14226,49271,85995,68766.42857142857,64741.066666666666,162.0751910910713,185.54144196958322
136,2023-06-09,93413,579.3963902499999,13464,49801,106877,75011.42857142857,66042.1,223.8613627410713,195.95956722249989
137,2023-06-10,67704,356.8422331374999,20485,49908,88189,78593.14285714286,66696.73333333334,254.45468613392845,200.4051287833332
138,2023-06-11,48798,122.78731703749988,11879,49039,60677,78404.85714285714,66657.5,254.89271589464275,195.12155060083322
139,2023-06-12,73475,484.3890779124997,21000,49548,94475,81028.57142857143,67820.2,293.2045725964284,207.12427749499986
140,2023-06-13,82618,265.34146157499987,19052,49943,101670,85893.42857142857,69168.63333333333,307.05645507499986,210.7125041833332
141,2023-06-14,74965,268.99664078749987,14948,49600,89913,89685.14285714286,69973.5,322.4847038142856,213.91286995124986
142,2023-06-15,97590,313.3250455999999,16567,50266,114157,93708.28571428571,71673.26666666666,341.5825951857141,217.37873724541654
143,2023-06-16,93870,250.29476502499983,14429,50084,108299,93911.42857142857,73171.93333333333,294.5680772964284,219.47490837166654
144,2023-06-17,92497,236.8699425999999,13484,49385,105981,96453.14285714286,74568.73333333334,277.42917864821413,220.8756030833332
145,2023-06-18,92581,200.3335322624999,12436,49883,105017,102787.42857142857,75974.83333333333,288.5072093946427,221.85354155499988
146,2023-06-19,93172,245.48612236249983,16347,49396,109519,104936.57142857143,77639.3,254.37821574464274,224.5841801158332
147,2023-06-20,86238,233.62633849999983,16340,50857,102578,105066.28571428571,79046.3,249.8474838767856,226.2258088616665
148,2023-06-21,81407,222.67237552499984,13778,48197,95185,105819.42857142857,80022.13333333333,243.22973169642842,227.60507890291652
149,2023-06-22,92185,295.9173813749999,17644,51156,109829,105201.14285714286,81389.9,240.74292252142843,226.02135686999983
150,2023-06-23,90051,330.1725325374999,16031,49998,106082,104884.42857142857,82783.9,252.1540321660713,228.96187250249986
151,2023-06-24,91897,537.0790810499998,20633,49494,112530,105820.0,84419.3,295.0410519446427,241.67834967499985
152,2023-06-25,55150,75.0602582874999,8470,48850,63620,99906.14285714286,84419.0,277.14486994821414,238.15744942583322
153,2023-06-26,49466,120.77681854999985,9327,49030,58793,92659.57142857143,84228.1,259.32925511785703,236.07937391583317
154,2023-06-27,49444,72.14489984999989,9665,48794,59109,86449.71428571429,84053.86666666667,236.26047816785697,231.91905223916652
155,2023-06-28,48434,136.0387832874999,8731,48835,57165,81018.28571428571,83849.93333333333,223.884250705357,231.51484781958322
156,2023-06-29,48821,193.8769703999999,8545,48218,57366,73523.57142857143,83473.4,209.30704913749986,231.8755070016665
