delegator,week,how_many_prep_voted,raffle_tickets
hx337d62d8d2a433f24f6f1688648aed101ba9f686,2020-41,11,1
hx642ab198ea3710f4215b5dc9d96c8f1f788114da,2020-41,11,1
hx6d1285116376e3d554eedeacceffe92bd41d911e,2020-41,11,1
hx6d6adbb8dccbbae2c98b9710fc4c2d1caea65dbb,2020-41,11,1
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2020-41,11,1
hx70fe8cd0e21a0a0c75dd9d0b6bc806cd26f4e55a,2020-41,11,1
hxab84e5c20bdde1ce5636b8c323a08057c3eeb377,2020-41,11,1
hx7218420a922b7c23dd029b0f4655586cab81c3cf,2020-41,11,1
hx75b0ddef1b30693a4805e129c447cb23b6593102,2020-41,11,1
hx7b940c6efec34d3991c9b917362bb1515fe46d4b,2020-41,11,1
hx7e6a0d2acd3677cb45f30ccf31f31fe2a5eb344f,2020-41,11,1
hx9e42d3a0d46a37e52dbcc20fc9080307336750ba,2020-41,11,1
hx816975ca7954845513f88dbb8104bcdb5e3adaed,2020-41,11,1
hx83c4477baf682ecfeef54f99a7bc2908c38fbdfa,2020-41,11,1
hx9b783c5ac6e4d62bf5b948e47ba424266085ad3d,2020-41,11,1
hx9b469d8212f7be0bdae3588f4d5b28e447a46530,2020-41,11,1
hx88d7523fabfc3d2a9933c192455972d64fe14cf0,2020-41,11,1
hx8c66e93216fa30a0e89e3678996fc7ea42576d34,2020-41,11,1
hx8f3aa15cf5d36b99548ea292dfce34a1d955aa19,2020-41,11,1
hx99d66cd80b8c2d45f2ec033cf6d17c5b737a7b2e,2020-41,11,1
hx9149c2de46219ca2ed05cfdca5eff35fb9725319,2020-41,11,1
hx974d7288f3e758ef0d8f22ddee1477d69c1a902c,2020-41,11,1
hx9213dfd0eba46fefff91b5ddc0ccb105a10c0f70,2020-41,11,1
hx9617803890b0c6909ca34e07c7a4b5acd4514e51,2020-41,11,1
hx93db169bccfe9a8afd6897eb54d4fc5a8d87d25a,2020-41,11,1
hx6607ef84572ac9bdb1ebbcf49bd0cddaf8903b8e,2020-41,11,1
hx62471b4843bea5f543c9895220b8ba99e1c24846,2020-41,11,1
hx3473e85103295a49c87b278f15cb0c3e3a4284e4,2020-41,11,1
hx5beebdab5f27090b3e44465abf17c11ab894f8ce,2020-41,11,1
hx38c59ac4e581ff1f421f91295dc18987dcc6f7da,2020-41,11,1
hx39333860042722e6531ac90b6a279ea70de09eb1,2020-41,11,1
hxc80f843578020a39efd76c89d4c49efc43526cd3,2020-41,11,1
hx3b77925ce37c0d1d983b3966c2ce6eef49820d44,2020-41,11,1
hx93aea0ed766e05ea3d0e14b99df441b6cd3e2c92,2020-41,11,1
hx3f58bdb18ffe94f86dd6619b301519219dd01fb9,2020-41,11,1
hx42d097e451e4fe6bd1f1796027d583fdad537538,2020-41,11,1
hx446fe84cf9e0775cf4f6156f2679c70de2d7ae06,2020-41,11,1
hx44a17a00d1641f939c78d95dc6b1807de266ecbc,2020-41,11,1
hxbed4d4c23ce16a4ecd3f5a44fddba1bf7712bdff,2020-41,11,1
hxbdfff8dc23130ebb5cfde1d2899416b7b5c317b5,2020-41,11,1
hxbcb195d6a4321d9480128204c6cf93516eb123cf,2020-41,11,1
hxbc6d22592d5e18ae00f2e64c7e541317889bf69b,2020-41,11,1
hx4b03d97b91bc4d13d271ee97c8571141baca6cd0,2020-41,11,1
hx4b1f64fbf1522016e402a392628aa3b1c6bae0e5,2020-41,11,1
hxb79fbcc271c215638ed8f4bf8cf9e9cfa74433c5,2020-41,11,1
hxb74fd8df615edb4894923e72ac0e1468497e0c30,2020-41,11,1
hx4d8a23c7c6914c0f9a9efaa8571effdb7f8dfc78,2020-41,11,1
hx4f726993a6cfabc87b3efc2949dac6fad761fca5,2020-41,11,1
hx502d1ba22f1da5745830bb71b7dcb68e77a9c3a7,2020-41,11,1
hxb2fa9acc7862ddc717f7e1b6c8ef9f168e81e060,2020-41,11,1
hx53c38abe38df03116f426ea55d973d77aeb71de6,2020-41,11,1
hx573ad8113e5687a448151261b3e256a48d9590cb,2020-41,11,1
hx76b8a2adfd79e3b1719a11e44c293f369dd3c817,2020-41,11,1
