biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-45 & 2020-46,hx1982db9a5a0ea04efb3a1d53648fc7143c429d2e,2539.585889131663,13,1,142.70696928755277,254.82999945257313,181.69526406952943,195.3527607024356,5.61930%,10.03431%,7.15452%,7.69231%
2020-45 & 2020-46,hx2399a64612e7f4494dc731839cbabc24dfd62e07,795.9372,13,1,9.3067,239.4899,9.3067,61.22593846153846,1.16928%,30.08904%,1.16928%,7.69231%
2020-45 & 2020-46,hxdae7ec0c2367f4f3696f2275490116ed4b2202f7,390.04640000000006,13,1,22.3781,33.8408,31.229300000000002,30.003569230769237,5.73729%,8.67610%,8.00656%,7.69231%
2020-45 & 2020-46,hxd65454fc832f4257d9a786e41222ed03ae05edc1,2023.1207946286,13,1,105.99050199202529,393.0520838268712,134.833964135194,155.6246765098923,5.23896%,19.42801%,6.66465%,7.69231%
2020-45 & 2020-46,hx1584db5872b6d7e24b57f73fd3b9c5d516db3ef8,50000.0,13,1,500.0,7000.0,4000.0,3846.153846153846,1.00000%,14.00000%,8.00000%,7.69231%
2020-45 & 2020-46,hxc503ebb5a1d72d511e8924e9023437c82fee95b2,380000.0,13,1,12500.0,50000.0,25000.0,29230.76923076923,3.28947%,13.15789%,6.57895%,7.69231%
2020-45 & 2020-46,hx49e57e5fed70ed214b39435032f7f84bc36eb8b2,15349.6188,13,1,999.9999999999998,3185.938,1000.0,1180.7399076923077,6.51482%,20.75581%,6.51482%,7.69231%
2020-45 & 2020-46,hx7616d8e5a76ac50c883393bd158df54578b61e73,24777.0,13,1,600.0,4000.0,2000.0,1905.923076923077,2.42160%,16.14400%,8.07200%,7.69231%
2020-45 & 2020-46,hx53385b530d6213c8d9f149be6fd573fc60438141,3155.6464000000005,13,1,24.6413,375.8723,312.86259999999993,242.7420307692308,0.78086%,11.91110%,9.91437%,7.69231%
2020-45 & 2020-46,hx9e780e0fc513a3c00663dd01c0d12672fe0dd865,6174.2459,13,1,61.800900000000055,679.8602,556.2492,474.9419923076923,1.00095%,11.01123%,9.00918%,7.69231%
2020-45 & 2020-46,hx6654384862ba2431c12575fd98e02a1ebe500d31,18819.4172,13,1,41.2648,3964.0424000000003,1504.5536000000002,1447.647476923077,0.21927%,21.06358%,7.99469%,7.69231%
2020-45 & 2020-46,hx44a17a00d1641f939c78d95dc6b1807de266ecbc,56776.75850000001,13,1,0.0,8380.538400000001,2351.5487,2838.8379250000007,0.00000%,14.76051%,4.14175%,5.00000%
2020-45 & 2020-46,hx442f62bda2157037af839c7075f43f16b2d4cc91,25155.2197,13,1,527.852,8139.955899999999,959.1224,1935.0169,2.09838%,32.35891%,3.81282%,7.69231%
2020-45 & 2020-46,hx7849e4405707a7ed86a3d24f8ff4cf45cde3587d,31759.064116484686,13,1,188.26615920142052,6087.270170137008,1946.681162343438,2443.0049320372837,0.59280%,19.16703%,6.12953%,7.69231%
2020-45 & 2020-46,hx58b45678ec9a9087293617d95bc3f69e5b036f59,6915.934400000001,13,1,436.91009999999994,685.4052,519.4871,531.994953846154,6.31744%,9.91052%,7.51145%,7.69231%
