validator,validator_name,date,votes
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-28,59236.365225233945
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-29,63412.21620825785
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-01,15958.021589536902
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-02,24647.789774448163
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-03,-25172.678265990373
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-04,54358.011839075516
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-05,1024745.4781659236
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-06,42653.495049970166
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-07,328188.89812351164
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-08,29236.08400280473
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-09,65306.249928975405
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-10,179632.36468895525
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-11,-63802.41445609172
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-12,173327.65947512456
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-13,135602.51147075577
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-14,160414.22285753084
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-15,76452.30234378953
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-16,57343.75787375987
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-17,-88420.41369609114
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-18,197568.35552497802
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-19,-47315.01786650151
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-20,362029.6275791868
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-21,74597.96106068355
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-22,145963.76889695332
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-23,284405.84244970686
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-24,134860.58787426623
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-25,218804.8475391394
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-26,519593.30950714974
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-27,50082.74087426112
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-28,222713.32818964933
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-29,90328.72393887804
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-30,52790.786813967585
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-03-31,-86000.58932144423
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-01,-152520.75211627615
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-02,-24691.012676534803
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-03,-177631.27058779297
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-04,-931229.7364947969
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-05,-279521.2852352299
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-06,-38880.08480999832
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-07,15610.568073079068
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-08,179177.59294804974
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-04-09,32733.853115787388
